Ymd,hhmm,g_n,g_s,a,R_n,R_s,Rr,obs,KN,KS
1976-05-31,21:07,89,-126,0,111,-92,0,19,0,0
1976-06-10,21:07,99,-121,1,109,-92,10,19,0,10
1976-06-20,21:07,107,-114,0,108,-93,29,19,29,0
1976-06-30,21:07,117,-107,0,106,-93,9,10,0,9
1976-07-10,21:07,119,-99,0,105,-93,0,6,0,0
1976-07-20,21:07,128,-97,0,104,-94,0,6,0,0
1976-07-30,21:07,135,-94,0,103,-94,0,10,0,0
1976-08-19,21:07,118,-80,0,100,-95,27,10,0,27
1976-08-29,21:07,117,-66,0,99,-95,8,19,8,0
1976-09-08,21:07,121,-62,0,98,-96,9,19,9,0
1976-09-28,21:07,129,-62,0,97,-96,14,10,7,7
1976-10-08,21:07,122,-67,0,96,-97,0,10,0,0
1976-10-18,21:07,113,-69,0,95,-97,16,19,0,16
1976-11-17,21:07,88,-95,0,93,-98,7,10,7,0
1976-11-27,21:07,86,-107,0,92,-98,9,19,9,0
1976-12-27,21:07,75,-111,0,90,-99,16,6,0,16
1977-01-06,21:07,58,-112,1,90,-99,9,6,9,0
1977-01-16,21:07,52,-97,0,89,-99,13,9,0,13
1977-02-15,21:07,55,-112,0,88,-100,47,10,24,23
1977-03-07,21:07,53,-139,0,88,-100,7,6,7,0
1977-03-17,21:07,62,-134,1,87,-101,8,6,0,8
1977-04-06,21:07,61,-132,1,87,-101,7,6,7,0
1977-04-16,21:07,60,-136,0,87,-102,19,9,0,19
1977-04-26,21:07,69,-124,0,87,-102,9,19,0,9
1977-05-06,21:07,76,-115,1,86,-103,22,10,22,0
1977-05-16,21:07,84,-119,0,86,-103,21,10,0,21
1977-05-26,21:07,93,-123,1,86,-104,7,10,7,0
1977-06-05,21:07,98,-116,0,86,-104,41,6,19,22
1977-06-15,21:07,96,-109,0,86,-105,9,10,0,9
1977-06-25,21:07,104,-103,1,86,-106,75,10,47,28
1977-07-25,21:07,112,-84,2,86,-107,38,10,25,13
1977-08-04,21:07,113,-82,0,86,-108,11,10,11,0
1977-08-14,21:07,115,-66,1,86,-109,55,10,55,0
1977-08-24,21:07,107,-67,1,86,-109,22,10,9,13
1977-09-03,21:07,110,-67,0,86,-110,30,6,30,0
1977-09-13,21:07,109,-71,0,87,-110,55,19,55,0
1977-10-03,21:07,113,-71,2,87,-111,73,19,63,10
1977-10-13,21:07,117,-68,2,87,-111,60,10,54,6
1977-10-23,21:07,115,-72,0,87,-112,27,10,0,27
1977-11-02,21:07,108,-82,1,88,-112,37,10,25,12
1977-11-12,21:07,106,-92,0,88,-112,40,19,19,21
1977-11-22,21:07,106,-95,1,88,-112,26,10,26,0
1977-12-02,21:07,104,-103,1,88,-112,20,10,7,13
1977-12-22,21:07,80,-118,1,89,-111,21,10,21,0
1978-01-01,21:07,56,-129,3,89,-111,110,6,55,55
1978-01-31,21:07,52,-146,2,89,-110,119,6,65,54
1978-03-02,21:07,50,-158,1,89,-107,104,10,65,39
1978-03-12,21:07,49,-157,2,89,-107,115,6,67,48
1978-03-22,21:07,54,-157,2,89,-106,108,10,61,47
1978-04-01,21:07,55,-149,2,88,-105,69,19,45,24
1978-04-11,21:07,50,-151,3,88,-104,136,10,72,64
1978-05-31,21:07,86,-112,4,85,-98,117,19,66,51
1978-06-20,21:07,99,-93,4,84,-95,140,10,95,45
1978-06-30,21:07,104,-70,3,83,-94,99,10,69,30
1978-07-10,21:07,115,-71,2,82,-92,100,10,53,47
1978-07-20,21:07,114,-58,1,81,-91,65,10,40,25
1978-07-30,21:07,109,-46,1,80,-89,34,19,25,9
1978-08-09,21:07,114,-42,2,79,-88,54,10,16,38
1978-08-19,21:07,118,-47,1,78,-86,34,19,18,16
1978-08-29,21:07,117,-42,3,77,-85,65,10,40,25
1978-09-08,21:07,113,-36,1,76,-84,139,9,53,86
1978-09-18,21:07,117,-34,0,75,-82,97,9,53,44
1978-10-08,21:07,105,-32,1,73,-79,91,6,29,62
1978-10-28,21:07,106,-44,1,70,-76,133,19,63,70
1978-11-07,21:07,107,-46,0,69,-75,90,10,20,70
1978-11-17,21:07,84,-49,3,68,-73,89,10,31,58
1978-12-07,21:07,65,-64,1,66,-70,142,10,33,109
1978-12-27,21:07,46,-74,1,64,-68,117,6,63,54
1979-01-06,21:07,42,-95,0,63,-66,186,6,69,117
1979-01-16,21:07,14,-102,0,62,-65,193,10,104,89
1979-01-26,21:07,13,-89,3,60,-63,225,19,89,136
1979-02-25,21:07,-9,-99,2,57,-59,107,19,31,76
1979-03-07,21:07,-6,-98,2,55,-58,161,10,68,93
1979-03-17,21:07,-0,-106,1,54,-57,122,10,53,69
1979-04-16,21:07,-3,-83,3,50,-53,127,10,104,23
1979-04-26,21:07,-2,-78,2,49,-52,100,19,61,39
1979-05-06,21:07,-1,-67,2,47,-51,123,6,80,43
1979-05-16,21:07,27,-63,0,46,-50,168,10,111,57
1979-05-26,21:07,37,-64,0,44,-48,96,9,44,52
1979-06-05,21:07,43,-55,1,43,-47,165,10,104,61
1979-06-25,21:07,77,-47,5,40,-45,121,10,60,61
1979-07-05,21:07,82,-37,2,38,-43,185,10,146,39
1979-07-15,21:07,91,-29,2,36,-42,102,6,65,37
1979-07-25,21:07,99,-15,2,34,-41,153,10,66,87
1979-08-14,21:07,82,-20,2,30,-38,84,10,52,32
1979-09-03,21:07,70,14,1,26,-36,123,10,91,32
1979-09-13,21:07,66,1,2,23,-34,167,19,128,39
1979-11-12,21:07,46,19,2,8,-25,195,10,90,105
1979-12-02,21:07,-6,3,1,2,-22,100,9,18,82
1980-01-01,21:07,-34,-17,5,-8,-18,150,6,39,111
1980-03-01,21:07,-68,-43,5,-26,-9,180,19,80,100
1980-03-11,21:07,-94,-46,0,-29,-7,47,9,7,40
1980-03-31,21:07,-66,-41,1,-35,-4,138,10,91,47
1980-04-10,21:07,-44,-32,0,-37,-2,136,10,81,55
1980-05-20,21:07,-65,-20,4,-46,5,211,10,81,130
1980-05-30,21:07,-48,-8,1,-48,7,138,10,43,95
1980-06-19,21:07,-41,12,1,-51,11,127,10,48,79
1980-06-29,21:07,-47,15,0,-52,13,106,19,43,63
1980-07-19,21:07,-30,33,2,-54,18,203,19,82,121
1980-07-29,21:07,-39,38,1,-55,20,86,10,41,45
1980-08-08,21:07,-28,42,2,-56,22,84,10,39,45
1980-08-18,21:07,-22,43,2,-56,24,186,10,131,55
1980-09-07,21:07,-48,51,1,-56,29,102,9,74,28
1980-09-17,21:07,-41,57,3,-56,31,88,19,25,63
1980-09-27,21:07,-53,63,4,-56,34,158,19,92,66
1980-10-07,21:07,-57,61,3,-56,36,110,10,63,47
1980-10-27,21:07,-58,52,0,-54,41,105,10,38,67
1980-11-26,21:07,-76,57,2,-52,47,112,9,72,40
1980-12-06,21:07,-80,56,0,-51,49,62,6,24,38
1981-01-25,21:07,-40,32,4,-47,57,109,9,40,69
1981-02-14,21:07,-34,35,2,-45,60,121,10,90,31
1981-03-06,21:07,-26,30,2,-44,62,145,6,65,80
1981-03-26,21:07,-21,57,2,-43,63,126,10,91,35
1981-04-15,21:07,-21,59,4,-42,65,235,19,168,67
1981-05-05,21:07,-19,70,1,-41,65,177,6,136,41
1981-05-15,21:07,-32,79,1,-41,65,121,10,94,27
1981-06-14,21:07,-32,97,1,-41,65,93,10,37,56
1981-07-04,21:07,-51,95,5,-41,64,153,19,50,103
1981-07-24,21:07,-53,73,2,-42,63,166,10,57,109
1981-08-03,21:07,-56,67,2,-42,62,130,10,85,45
1981-08-13,21:07,-61,60,4,-43,62,124,10,33,91
1981-08-23,21:07,-60,55,3,-44,61,234,19,76,158
1981-09-02,21:07,-49,51,3,-44,60,159,10,71,88
1981-09-12,21:07,-50,40,2,-45,59,149,10,103,46
1981-09-22,21:07,-56,39,4,-46,59,175,19,100,75
1981-10-02,21:07,-56,35,2,-47,58,178,19,99,79
1981-11-01,21:07,-65,52,3,-50,55,164,10,81,83
1981-11-11,21:07,-60,64,3,-51,54,164,10,91,73
1981-11-21,21:07,-57,52,0,-52,54,52,9,27,25
1981-12-21,21:07,-50,55,1,-56,51,52,9,9,43
1981-12-31,21:07,-63,67,6,-57,51,131,10,64,67
1982-01-20,21:07,-54,52,2,-60,49,117,10,56,61
1982-01-30,21:07,-43,39,2,-62,49,243,10,104,139
1982-02-09,21:07,-41,35,6,-63,48,201,10,58,143
1982-03-01,21:07,-43,36,3,-66,47,175,10,72,103
1982-04-20,21:07,-65,67,1,-72,46,86,10,45,41
1982-05-20,21:07,-80,61,5,-75,47,98,10,62,36
1982-05-30,21:07,-76,51,2,-76,47,74,9,8,66
1982-06-09,21:07,-86,51,2,-77,47,154,19,41,113
1982-07-09,21:07,-89,27,1,-79,49,48,10,27,21
1982-07-29,21:07,-96,37,0,-80,50,21,6,11,11
1982-08-08,21:07,-95,33,3,-81,51,171,19,97,74
1982-08-18,21:07,-102,30,3,-82,52,97,10,46,51
1982-09-07,21:07,-104,23,1,-83,53,96,10,55,41
1982-09-17,21:07,-105,37,1,-83,54,113,9,64,49
1982-09-27,21:07,-109,53,3,-83,55,143,19,68,75
1982-10-07,21:07,-111,57,0,-84,56,41,19,26,15
1982-10-27,21:07,-112,59,1,-85,58,135,10,61,74
1982-11-26,21:07,-99,78,1,-87,61,51,10,18,33
1982-12-06,21:07,-89,98,4,-87,63,159,10,81,78
1982-12-26,21:07,-74,88,1,-88,65,114,10,32,82
1983-01-15,21:07,-59,98,0,-90,67,75,9,39,36
1983-01-25,21:07,-50,88,2,-90,68,75,6,36,39
1983-02-04,21:07,-63,85,3,-91,69,104,10,10,94
1983-02-24,21:07,-85,89,0,-92,71,37,9,20,17
1983-04-25,21:07,-50,54,3,-96,78,116,10,44,72
1983-05-05,21:07,-57,50,2,-97,79,97,19,21,76
1983-05-15,21:07,-82,90,1,-98,81,122,19,31,91
1983-06-04,21:07,-102,110,0,-99,83,73,9,0,73
1983-06-14,21:07,-117,93,1,-100,85,97,19,28,69
1983-06-24,21:07,-122,96,5,-100,86,138,19,92,46
1983-07-04,21:07,-129,100,1,-101,88,83,19,0,83
1983-07-14,21:07,-130,103,0,-102,89,87,10,40,47
1983-07-24,21:07,-144,94,2,-102,90,90,10,48,42
1983-08-23,21:07,-153,74,1,-104,95,37,10,20,17
1983-09-22,21:07,-149,59,2,-105,99,35,19,0,35
1983-10-02,21:07,-137,71,1,-106,100,38,9,20,18
1983-10-12,21:07,-137,75,0,-106,101,102,9,59,43
1983-10-22,21:07,-133,86,2,-107,103,16,9,0,16
1983-11-01,21:07,-134,82,1,-107,104,12,6,0,12
1983-11-11,21:07,-117,98,1,-108,105,48,9,9,39
1983-11-21,21:07,-115,111,0,-108,106,0,6,0,0
1983-12-01,21:07,-117,120,1,-108,108,27,19,27,0
1983-12-31,21:07,-88,124,1,-109,111,9,6,9,0
1984-01-10,21:07,-84,126,0,-110,112,41,19,0,41
1984-01-20,21:07,-80,134,0,-110,113,67,19,0,67
1984-01-30,21:07,-70,139,1,-110,114,104,6,104,0
1984-02-09,21:07,-70,144,0,-110,115,111,14,14,97
1984-03-10,21:07,-69,141,2,-110,118,62,19,0,62
1984-03-20,21:07,-70,146,5,-111,119,104,6,73,31
1984-04-09,21:07,-71,143,3,-111,122,26,19,9,17
1984-04-19,21:07,-86,136,0,-111,123,85,6,40,45
1984-04-29,21:07,-87,135,0,-110,124,84,14,0,84
1984-05-09,21:07,-87,129,0,-110,125,69,6,59,10
1984-05-19,21:07,-96,123,1,-110,126,54,6,0,54
1984-06-08,21:07,-117,119,2,-110,128,32,14,24,8
1984-06-18,21:07,-116,117,2,-110,129,61,19,22,39
1984-07-08,21:07,-138,123,0,-110,131,65,14,31,34
1984-07-18,21:07,-141,124,2,-110,133,26,3,0,26
1984-07-28,21:07,-141,120,0,-110,134,8,6,0,8
1984-08-17,21:07,-148,102,1,-110,136,16,19,8,8
1984-08-27,21:07,-156,95,0,-110,137,27,6,0,27
1984-09-06,21:07,-156,93,1,-110,138,24,6,16,8
1984-09-26,21:07,-156,109,0,-110,140,0,3,0,0
1984-10-06,21:07,-157,109,0,-110,140,0,3,0,0
1984-10-16,21:07,-132,117,0,-110,141,15,19,15,0
1984-11-05,21:07,-124,128,0,-110,143,0,3,0,0
1984-11-25,21:07,-119,139,0,-111,144,41,6,7,34
1984-12-05,21:07,-103,142,0,-111,145,8,3,8,0
1984-12-15,21:07,-97,152,0,-111,145,20,6,10,10
1984-12-25,21:07,-95,156,1,-111,146,10,14,0,10
1985-01-04,21:07,-94,163,0,-111,146,0,3,0,0
1985-02-03,21:07,-67,192,0,-112,148,23,3,10,13
1985-02-13,21:07,-61,188,1,-112,148,18,14,0,18
1985-02-23,21:07,-64,184,0,-112,148,15,19,15,0
1985-03-05,21:07,-66,184,0,-112,148,0,3,0,0
1985-03-25,21:07,-70,178,1,-112,149,23,14,14,9
1985-04-04,21:07,-72,176,0,-112,149,10,6,0,10
1985-05-04,21:07,-94,171,3,-112,149,21,6,21,0
1985-05-14,21:07,-99,164,0,-112,149,28,3,0,28
1985-05-24,21:07,-107,166,0,-112,149,18,6,11,7
1985-06-03,21:07,-115,159,0,-112,149,0,19,0,0
1985-06-23,21:07,-124,147,1,-112,149,9,3,0,9
1985-07-03,21:07,-133,139,0,-112,149,23,6,0,23
1985-07-13,21:07,-136,129,0,-112,149,21,6,10,11
1985-07-23,21:07,-142,122,2,-112,149,15,3,0,15
1985-08-12,21:07,-154,107,0,-112,149,0,14,0,0
1985-08-22,21:07,-154,99,0,-112,148,0,6,0,0
1985-09-01,21:07,-161,96,0,-112,148,0,3,0,0
1985-09-11,21:07,-161,92,0,-112,148,0,3,0,0
1985-09-21,21:07,-156,96,1,-112,148,7,19,0,7
1985-10-01,21:07,-146,99,0,-112,148,0,6,0,0
1985-10-11,21:07,-153,103,0,-112,147,0,19,0,0
1985-11-30,21:07,-96,142,0,-113,146,0,14,0,0
1985-12-10,21:07,-94,154,0,-113,146,10,19,10,0
1985-12-20,21:07,-95,153,0,-113,146,13,14,0,13
1986-01-09,21:07,-73,176,0,-113,145,0,19,0,0
1986-01-19,21:07,-70,182,0,-114,145,0,19,0,0
1986-01-29,21:07,-76,169,0,-114,145,0,14,0,0
1986-02-18,21:07,-80,186,0,-114,144,0,6,0,0
1986-02-28,21:07,-79,192,0,-114,144,0,19,0,0
1986-03-20,21:07,-77,184,0,-114,144,9,3,0,9
1986-03-30,21:07,-82,182,0,-114,143,0,6,0,0
1986-04-09,21:07,-89,183,0,-114,143,0,19,0,0
1986-04-19,21:07,-93,173,0,-114,143,8,6,8,0
1986-04-29,21:07,-94,174,0,-114,143,21,3,21,0
1986-05-09,21:07,-101,170,0,-114,143,0,14,0,0
1986-05-19,21:07,-107,169,0,-114,143,19,6,19,0
1986-05-29,21:07,-115,166,0,-114,143,9,19,0,9
1986-06-08,21:07,-124,152,0,-114,143,0,3,0,0
1986-06-18,21:07,-128,141,0,-114,143,0,19,0,0
1986-06-28,21:07,-133,128,0,-114,143,0,19,0,0
1986-07-08,21:07,-128,130,0,-114,143,19,14,19,0
1986-07-18,21:07,-137,120,1,-114,142,20,6,10,10
1986-07-28,21:07,-146,95,0,-114,142,8,3,8,0
1986-08-07,21:07,-143,91,0,-114,142,9,6,9,0
1986-08-17,21:07,-132,82,1,-114,142,7,19,7,0
1986-09-06,21:07,-137,91,0,-114,141,11,6,11,0
1986-09-16,21:07,-147,95,0,-114,141,0,19,0,0
1986-10-06,21:07,-153,99,1,-115,140,20,14,20,0
1986-10-16,21:07,-146,101,0,-115,140,0,19,0,0
1986-11-05,21:07,-139,112,0,-116,139,32,3,32,0
1986-11-15,21:07,-136,120,0,-116,138,11,6,11,0
1986-11-25,21:07,-127,134,0,-116,138,0,19,0,0
1986-12-05,21:07,-123,137,0,-116,137,0,14,0,0
1986-12-25,21:07,-102,146,0,-117,136,0,19,0,0
1987-01-04,21:07,-93,150,1,-117,135,12,14,12,0
1987-01-24,21:07,-83,159,0,-117,133,12,19,0,12
1987-02-03,21:07,-77,167,0,-117,133,0,14,0,0
1987-02-23,21:07,-80,171,0,-117,131,0,6,0,0
1987-03-05,21:07,-76,184,1,-117,130,20,19,20,0
1987-03-15,21:07,-83,184,1,-117,130,16,3,0,16
1987-03-25,21:07,-79,184,0,-117,129,20,6,20,0
1987-04-04,21:07,-88,169,1,-117,128,14,19,7,7
1987-04-14,21:07,-89,161,0,-117,127,52,14,8,44
1987-04-24,21:07,-98,159,2,-117,127,37,14,29,8
1987-05-14,21:07,-102,159,1,-116,125,15,14,7,8
1987-05-24,21:07,-114,138,0,-116,124,25,6,25,0
1987-06-03,21:07,-118,134,0,-115,123,0,19,0,0
1987-06-13,21:07,-121,124,2,-115,123,13,14,6,7
1987-06-23,21:07,-127,125,0,-114,122,29,3,20,9
1987-07-03,21:07,-134,106,0,-114,121,0,19,0,0
1987-07-13,21:07,-138,100,0,-114,120,0,14,0,0
1987-07-23,21:07,-135,92,2,-113,119,84,3,15,69
1987-08-02,21:07,-144,74,1,-113,118,39,14,28,11
1987-08-22,21:07,-138,75,1,-112,116,28,3,10,18
1987-09-01,21:07,-139,60,3,-112,115,34,6,0,34
1987-09-11,21:07,-144,55,0,-112,114,53,6,12,41
1987-09-21,21:07,-144,55,1,-111,113,25,19,7,18
1987-10-01,21:07,-143,60,1,-111,112,20,19,11,9
1987-10-21,21:07,-142,56,1,-110,110,44,19,15,29
1987-11-10,21:07,-131,76,2,-110,107,27,6,18,9
1987-12-10,21:07,-104,102,0,-109,104,20,3,0,20
1987-12-20,21:07,-92,91,0,-108,103,9,6,0,9
1987-12-30,21:07,-80,113,0,-108,102,40,6,0,40
1988-01-09,21:07,-62,146,1,-107,101,53,3,27,26
1988-01-19,21:07,-63,156,0,-107,99,58,19,0,58
1988-02-18,21:07,-66,143,2,-104,96,47,3,17,30
1988-02-28,21:07,-62,149,3,-103,95,42,19,26,16
1988-03-09,21:07,-65,143,1,-103,94,34,3,34,0
1988-03-19,21:07,-63,144,0,-101,93,81,19,29,52
1988-03-29,21:07,-64,137,0,-100,92,94,3,52,42
1988-04-08,21:07,-61,135,2,-99,91,71,19,54,17
1988-04-18,21:07,-66,106,2,-98,90,100,3,68,32
1988-05-18,21:07,-87,111,3,-94,88,38,19,25,13
1988-05-28,21:07,-105,92,0,-92,87,67,6,9,58
1988-06-07,21:07,-111,81,1,-90,86,125,19,66,59
1988-06-27,21:07,-109,76,1,-87,85,95,18,38,57
1988-07-07,21:07,-104,50,1,-85,84,82,3,51,31
1988-07-17,21:07,-100,44,2,-83,83,90,6,26,64
1988-07-27,21:07,-104,44,3,-81,82,89,18,43,46
1988-08-06,21:07,-119,39,2,-79,81,126,6,84,42
1988-08-16,21:07,-112,25,1,-77,80,83,3,67,16
1988-08-26,21:07,-116,16,2,-75,79,83,18,62,21
1988-09-05,21:07,-115,28,2,-73,79,139,6,65,74
1988-09-25,21:07,-112,43,2,-69,77,125,19,95,30
1988-10-15,21:07,-101,53,5,-65,75,103,6,63,40
1988-10-25,21:07,-102,58,0,-63,74,91,6,61,30
1988-11-04,21:07,-99,57,5,-61,72,103,18,64,39
1988-11-24,21:07,-65,67,3,-57,70,104,3,61,43
1988-12-14,21:07,-58,62,1,-53,68,162,19,83,79
1988-12-24,21:07,-16,68,3,-51,66,204,6,155,49
1989-01-03,21:07,3,72,2,-50,65,156,18,58,98
1989-01-13,21:07,26,78,3,-48,64,175,19,59,116
1989-01-23,21:07,6,94,3,-46,62,167,6,117,50
1989-02-02,21:07,12,105,2,-44,61,144,6,43,101
1989-02-12,21:07,-2,99,2,-43,59,206,3,133,73
1989-03-04,21:07,-17,94,3,-40,56,99,6,65,34
1989-03-24,21:07,19,88,4,-37,53,178,19,115,63
1989-04-23,21:07,35,98,2,-33,48,118,19,64,54
1989-05-03,21:07,7,80,0,-32,46,71,3,37,34
1989-05-13,21:07,-6,69,3,-30,44,132,18,83,49
1989-05-23,21:07,-34,72,3,-29,42,178,3,58,120
1989-06-12,21:07,-39,23,2,-27,38,217,3,107,110
1989-06-22,21:07,-40,27,5,-26,36,174,19,92,82
1989-07-02,21:07,-42,29,1,-25,34,122,19,72,50
1989-07-12,21:07,-66,23,4,-24,32,137,6,84,53
1989-07-22,21:07,-71,20,0,-23,30,184,6,75,109
1989-08-01,21:07,-74,10,7,-22,28,174,6,40,134
1989-08-11,21:07,-66,3,4,-21,26,194,18,75,119
1989-08-21,21:07,-68,-12,5,-20,24,197,19,151,46
1989-08-31,21:07,-86,-14,0,-19,22,94,6,30,64
1989-09-10,21:07,-79,-18,3,-18,20,266,6,199,67
1989-09-20,21:07,-66,-24,4,-17,18,152,6,59,93
1989-09-30,21:07,-39,-14,0,-16,17,128,18,58,70
1989-10-10,21:07,-42,-6,5,-15,15,167,3,128,39
1989-10-20,21:07,-20,-3,4,-13,13,164,6,16,148
1989-11-19,21:07,-43,-15,4,-9,9,165,6,66,99
1989-11-29,21:07,-25,-10,4,-8,7,199,3,84,115
1989-12-09,21:07,-7,13,2,-6,6,132,18,75,57
1989-12-29,21:07,32,4,5,-3,4,231,6,73,158
1990-01-08,21:07,42,6,4,-1,4,165,6,62,103
1990-02-07,21:07,57,29,0,4,3,66,6,34,32
1990-02-17,21:07,71,34,3,6,2,57,18,31,26
1990-03-09,21:07,14,20,1,10,3,71,3,29,42
1990-03-19,21:07,-12,7,6,11,3,220,18,87,133
1990-03-29,21:07,1,9,4,13,3,148,19,40,108
1990-04-28,21:07,33,18,0,19,5,97,19,57,40
1990-05-08,21:07,36,23,3,20,6,153,19,78,75
1990-05-18,21:07,45,27,3,22,7,164,18,66,98
1990-05-28,21:07,20,22,0,24,8,100,18,54,46
1990-06-17,21:07,38,16,4,26,10,121,18,40,81
1990-06-27,21:07,19,0,2,28,11,126,19,39,87
1990-07-07,21:07,11,-21,3,29,12,170,6,84,86
1990-07-17,21:07,4,-12,3,30,13,71,18,48,23
1990-07-27,21:07,19,-17,1,31,14,165,6,78,87
1990-08-06,21:07,14,3,0,32,15,106,6,60,46
1990-08-16,21:07,19,14,2,33,16,191,19,126,65
1990-08-26,21:07,24,23,3,34,17,235,3,71,164
1990-09-15,21:07,22,-0,2,36,18,158,3,71,87
1990-09-25,21:07,22,-7,2,37,18,83,19,28,55
1990-10-15,21:07,40,11,3,38,19,216,3,98,118
1990-10-25,21:07,52,11,4,39,19,139,6,87,52
1990-11-04,21:07,48,-4,3,39,19,129,19,42,87
1990-11-14,21:07,57,-6,1,40,19,126,19,72,54
1990-11-24,21:07,46,-13,2,40,18,115,6,42,73
1990-12-14,21:07,51,14,1,41,17,99,19,91,8
1990-12-24,21:07,46,22,3,42,16,123,6,28,95
1991-01-03,21:07,51,28,2,43,15,109,3,25,84
1991-01-23,21:07,43,43,4,44,13,163,6,37,126
1991-02-02,21:07,43,24,2,45,11,208,3,58,150
1991-02-22,21:07,47,39,7,47,8,214,18,60,154
1991-03-04,21:07,48,42,2,48,6,59,6,43,16
1991-03-14,21:07,52,32,2,49,4,160,19,7,153
1991-03-24,21:07,35,15,5,50,2,165,18,24,141
1991-04-03,21:07,33,8,0,51,-1,96,19,53,43
1991-05-13,21:07,45,6,1,56,-11,98,18,61,37
1991-05-23,21:07,50,2,6,57,-14,122,6,54,68
1991-06-02,21:07,52,-3,3,58,-17,178,3,104,74
1991-06-12,21:07,57,-10,5,60,-20,237,6,101,136
1991-06-22,21:07,63,-22,3,61,-23,123,3,40,83
1991-07-02,21:07,74,-24,1,62,-26,183,18,130,53
